topic,stop,stemmer,model,ap,rbp,p10,ndcg,twist,err
404,nostop,nolug,dfiz,0.1367,0.1840,0.2000,0.5279,0.2968,0.1600
405,nostop,nolug,dfiz,0.0582,0.2533,0.3000,0.2610,0.2082,0.3050
406,nostop,nolug,dfiz,0.2179,0.4060,0.4000,0.6181,0.4351,0.3645
407,nostop,nolug,dfiz,0.1621,0.4890,0.4000,0.4503,0.2907,0.6543
408,nostop,nolug,dfiz,0.1245,0.4276,0.4000,0.3933,0.3170,0.5828
409,nostop,nolug,dfiz,0.1727,0.3619,0.3000,0.5753,0.3513,0.5836
410,nostop,nolug,dfiz,0.1925,0.3656,0.3000,0.6118,0.3606,0.3355
411,nostop,nolug,dfiz,0.0960,0.3574,0.3000,0.3354,0.2519,0.5828
412,nostop,nolug,dfiz,0.0240,0.1359,0.3000,0.2090,0.1554,0.1194
413,nostop,nolug,dfiz,0.1044,0.2674,0.2000,0.4752,0.2190,0.5499
414,nostop,nolug,dfiz,0.1492,0.2144,0.2000,0.6194,0.3271,0.2172
415,nostop,nolug,dfiz,0.3035,0.9332,0.9000,0.5576,0.4067,0.6931
416,nostop,nolug,dfiz,0.3174,0.2896,0.4000,0.7313,0.4595,0.1708
417,nostop,nolug,dfiz,0.2764,0.6251,0.5000,0.6533,0.4011,0.6669
418,nostop,nolug,dfiz,0.0301,0.4105,0.4000,0.1511,0.1003,0.5929
419,nostop,nolug,dfiz,0.1599,0.4019,0.3000,0.3439,0.2736,0.6073
420,nostop,nolug,dfiz,0.4217,0.8497,0.9000,0.7569,0.4967,0.6925
421,nostop,nolug,dfiz,0.0741,0.2737,0.3000,0.4029,0.2334,0.2398
422,nostop,nolug,dfiz,0.2162,0.6189,0.4000,0.5747,0.3761,0.6822
423,nostop,nolug,dfiz,0.6791,0.8583,0.9000,0.8808,0.6247,0.6884
424,nostop,nolug,dfiz,0.0184,0.0965,0.1000,0.1589,0.0953,0.1280
425,nostop,nolug,dfiz,0.1345,0.8095,0.9000,0.3197,0.2333,0.6779
426,nostop,nolug,dfiz,0.0020,0.0000,0.0000,0.0626,0.0198,0.0165
427,nostop,nolug,dfiz,0.1643,0.6579,0.5000,0.4022,0.2866,0.6879
428,nostop,nolug,dfiz,0.0565,0.1334,0.2000,0.3206,0.2396,0.1214
429,nostop,nolug,dfiz,0.1888,0.2529,0.3000,0.6209,0.3758,0.2362
430,nostop,nolug,dfiz,0.5267,0.4140,0.3000,0.9367,0.5529,0.6093
431,nostop,nolug,dfiz,0.1264,0.5523,0.5000,0.3851,0.3238,0.6048
432,nostop,nolug,dfiz,0.0146,0.0222,0.0000,0.2356,0.0817,0.0592
433,nostop,nolug,dfiz,0.0474,0.1699,0.2000,0.2234,0.2035,0.1990
434,nostop,nolug,dfiz,0.0245,0.1258,0.2000,0.2063,0.0857,0.1306
435,nostop,nolug,dfiz,0.0800,0.6360,0.5000,0.3131,0.2330,0.6874
436,nostop,nolug,dfiz,0.0065,0.1688,0.1000,0.0829,0.0342,0.2700
437,nostop,nolug,dfiz,0.0129,0.1609,0.1000,0.1613,0.0905,0.2617
438,nostop,nolug,dfiz,0.1257,0.0338,0.0000,0.5084,0.3156,0.0660
439,nostop,nolug,dfiz,0.0126,0.0663,0.1000,0.1616,0.0469,0.0975
440,nostop,nolug,dfiz,0.0097,0.0000,0.0000,0.1865,0.0821,0.0137
441,nostop,nolug,dfiz,0.5990,0.7937,0.7000,0.8370,0.6408,0.6925
442,nostop,nolug,dfiz,0.0001,0.0000,0.0000,0.0187,0.0000,0.0027
443,nostop,nolug,dfiz,0.0551,0.0931,0.1000,0.3226,0.2352,0.1085
444,nostop,nolug,dfiz,0.4052,0.6234,0.5000,0.7530,0.4521,0.6746
445,nostop,nolug,dfiz,0.0889,0.4455,0.3000,0.2741,0.2779,0.6518
446,nostop,nolug,dfiz,0.0284,0.1338,0.2000,0.2101,0.1181,0.1331
447,nostop,nolug,dfiz,0.3920,0.4996,0.4000,0.7840,0.4534,0.6028
448,nostop,nolug,dfiz,0.0040,0.0001,0.0000,0.1035,0.0404,0.0200
449,nostop,nolug,dfiz,0.0580,0.4742,0.3000,0.2368,0.1798,0.6624
450,nostop,nolug,dfiz,0.4484,0.7423,0.8000,0.7450,0.5216,0.6684
401,nostop,nolug,dfree,0.0042,0.0002,0.0000,0.0890,0.0294,0.0240
402,nostop,nolug,dfree,0.1685,0.6134,0.5000,0.5060,0.3133,0.6746
403,nostop,nolug,dfree,0.8178,0.9625,1.0000,0.9316,0.7313,0.6931
404,nostop,nolug,dfree,0.2036,0.5722,0.4000,0.6107,0.3540,0.6729
405,nostop,nolug,dfree,0.1313,0.4486,0.6000,0.3505,0.2819,0.3471
406,nostop,nolug,dfree,0.3022,0.4668,0.4000,0.7114,0.3954,0.3781
407,nostop,nolug,dfree,0.2236,0.4820,0.4000,0.5486,0.3768,0.6158
408,nostop,nolug,dfree,0.1467,0.5317,0.5000,0.4226,0.3322,0.6034
409,nostop,nolug,dfree,0.2099,0.4550,0.3000,0.5825,0.3621,0.6543
410,nostop,nolug,dfree,0.6703,0.9146,0.8000,0.8501,0.5238,0.6929
411,nostop,nolug,dfree,0.1314,0.4499,0.4000,0.3889,0.2839,0.5993
412,nostop,nolug,dfree,0.0758,0.3894,0.6000,0.3092,0.2414,0.2108
413,nostop,nolug,dfree,0.0871,0.1577,0.2000,0.4609,0.2763,0.1483
414,nostop,nolug,dfree,0.1940,0.4080,0.3000,0.6296,0.3266,0.6110
415,nostop,nolug,dfree,0.3347,0.9602,1.0000,0.6255,0.4248,0.6931
