stop,stemmer,model,ap,rbp,p10,ndcg,twist,err,ssapw,ssrbpw,ssp10w,ssndcgw,sstwistw,sserrw
indri,snowballPorter,tfidf,0.205812,0.422212,0.396,0.563916,0.311596,0.39665,0.8859501528,3.8091918128,3.8392,592.558276629,0.8668074792,3.727426045
indri,weakPorter,bb2,0.211118,0.411756,0.382,0.550666,0.31213,0.39949,1.2931457138,3.9191272432,3.8938,575.861565276,1.078718285,3.623772565
indri,weakPorter,bm25,0.20307,0.412418,0.386,0.543768,0.310846,0.39736,1.051292065,3.9128973938,4.1602,569.188566905,0.9580095042,3.56945838
indri,weakPorter,dfiz,0.188706,0.383356,0.362,0.552618,0.296624,0.38262,0.7902813482,3.5357034232,3.0578,582.171213694,0.8336512912,4.32802678
indri,weakPorter,dfree,0.205812,0.41527,0.372,0.566124,0.309508,0.39775,0.8996397928,3.361279465,3.3008,603.940765131,0.9136859568,3.444859665
indri,weakPorter,dirichletlm,0.154328,0.343246,0.316,0.496576,0.25846,0.353174,0.6928902608,3.5716955242,3.4272,540.994752862,0.90800878,4.5029581962
indri,weakPorter,dlh,0.195536,0.387718,0.378,0.539404,0.302276,0.360216,1.0698811152,3.7832098138,3.4258,572.250368681,0.9258410312,3.4243323672
indri,weakPorter,dph,0.22148,0.444658,0.404,0.575936,0.325768,0.423162,1.02359136,3.9096586618,3.5592,626.971454599,0.8285671288,3.7419435578
indri,weakPorter,hiemstralm,0.12349,0.283362,0.268,0.448336,0.233182,0.27193,0.518912685,2.6721778378,2.0888,557.392468534,0.6641996738,2.912953005
indri,weakPorter,ifb2,0.207426,0.400702,0.382,0.545556,0.310576,0.389502,1.2616869362,3.9395934698,4.0538,585.928450026,1.0944462712,3.6460656498
indri,weakPorter,inb2,0.200254,0.405696,0.378,0.541886,0.301832,0.39403,1.0704514642,3.4737690992,3.5058,583.700106378,0.9222840888,3.223350265
indri,weakPorter,inl2,0.207234,0.413596,0.39,0.550322,0.312906,0.387116,1.1318644322,3.9265207792,4.165,595.979630688,0.9396686282,3.3914474872
indri,weakPorter,inexpb2,0.212224,0.416552,0.392,0.55256,0.317286,0.395944,1.2543705512,3.8057596048,3.9168,601.1321823,1.0472238002,3.3568761232
indri,weakPorter,jskls,0.21356,0.43167,0.382,0.573018,0.316054,0.4138,0.91530266,3.400739625,3.2538,634.928157774,0.8585187442,3.53353378
indri,weakPorter,lemurtfidf,0.207694,0.398956,0.368,0.53765,0.305958,0.38198,1.3443260882,4.1628431232,3.9888,587.398259205,1.2661646818,3.82622468
indri,weakPorter,lgd,0.198472,0.404178,0.362,0.557736,0.307376,0.407726,0.9314037808,3.2227727458,3.0778,614.638296047,0.9517562312,3.7731804162
indri,weakPorter,pl2,0.200906,0.417568,0.384,0.530194,0.312004,0.389712,1.0846391482,4.1722853488,3.9072,584.072113362,1.2982109792,3.7458353728
indri,weakPorter,tfidf,0.205454,0.418142,0.392,0.546384,0.314458,0.400138,1.1033853842,3.8753492218,4.1568,603.2585984,0.9519000618,3.5154331578
lucene,nolug,bb2,0.186126,0.41112,0.396,0.504696,0.294644,0.41623,1.0321976362,4.36638636,4.3792,571.728609437,1.0995772032,4.395758205
lucene,nolug,bm25,0.190022,0.415916,0.392,0.50728,0.301346,0.410272,1.0017166458,4.3523480072,4.2968,574.676321046,1.1916960242,4.1181462008
lucene,nolug,dfiz,0.1381,0.324198,0.292,0.47055,0.24663,0.358328,0.56537604,3.5113068498,3.1768,574.436391615,1.004384665,4.4492273608
lucene,nolug,dfree,0.175376,0.402512,0.372,0.513148,0.27298,0.395198,0.7320714912,3.9115041928,3.5408,581.376593969,0.71109554,3.9877850098
lucene,nolug,dirichletlm,0.13359,0.329346,0.3,0.457052,0.23352,0.336602,0.600607865,3.7660440042,2.92,584.704391719,0.82574812,3.9951470898
lucene,nolug,dlh,0.1695,0.379422,0.362,0.490952,0.280382,0.34393,0.858936,3.7657763658,3.2578,578.078445284,0.8281343538,3.485121265
lucene,nolug,dph,0.192498,0.420676,0.384,0.522204,0.306146,0.394426,0.9160217098,4.1977744112,3.7872,593.382946071,1.1586570442,3.7414464962
lucene,nolug,hiemstralm,0.11761,0.282328,0.274,0.427906,0.233534,0.260214,0.500989385,2.8714424808,2.6562,617.809654402,1.0372171922,3.0297212602
lucene,nolug,ifb2,0.195466,0.40561,0.38,0.508446,0.305322,0.411264,1.3211432922,4.182492425,4.18,589.498571294,1.3029970658,4.2604144552
lucene,nolug,inb2,0.176838,0.392368,0.374,0.494574,0.29183,0.38259,1.0240724778,3.8730940488,3.5962,586.956424625,1.119570705,4.034290205
lucene,nolug,inl2,0.189838,0.413724,0.394,0.511764,0.299016,0.39189,1.0335531778,4.4285936712,4.5682,595.107153624,1.1711661072,3.771623565
lucene,nolug,inexpb2,0.19643,0.417752,0.4,0.518936,0.301994,0.413326,1.188116285,4.3199848648,4.24,601.628540035,1.3741035882,4.2760707562
lucene,nolug,jskls,0.177168,0.405804,0.368,0.51664,0.274098,0.38731,0.7494951288,4.0030927592,3.6288,601.88441147,0.7794450098,3.805087825
lucene,nolug,lemurtfidf,0.195868,0.39758,0.376,0.50773,0.301146,0.401914,1.2947129888,4.05240384,4.1112,599.44055335,1.3031153242,4.2367618202
lucene,nolug,lgd,0.16353,0.367144,0.336,0.508512,0.269212,0.37423,0.719546685,3.7768288632,3.2152,601.673884414,0.6845011328,4.160911685
lucene,nolug,pl2,0.18389,0.406036,0.38,0.487614,0.300564,0.38602,1.203758565,4.2348680152,3.98,598.521067374,1.1675267352,3.60430088
lucene,nolug,tfidf,0.186928,0.411386,0.4,0.504246,0.30214,0.404902,1.0348611608,4.2328813602,4.24,603.762958867,1.11266038,4.0929551298
lucene,krovetz,bb2,0.202114,0.413556,0.366,0.54,0.305166,0.43203,0.9594931802,3.3377289432,3.4922,633.76036968,0.8487085522,3.820361985
lucene,krovetz,bm25,0.208958,0.424958,0.374,0.551966,0.310676,0.438132,0.9908841618,3.4715481618,3.3762,651.051897785,0.8807309712,3.8333794488
lucene,krovetz,dfiz,0.143514,0.32395,0.302,0.494384,0.24976,0.344104,0.5755698402,2.796074745,2.4898,606.779981816,0.59356894,3.8741162992
lucene,krovetz,dfree,0.18679,0.396262,0.354,0.54188,0.289222,0.38929,0.755245045,3.0677864578,3.3242,641.168128274,0.7502447258,3.309142945
lucene,krovetz,dirichletlm,0.138598,0.318314,0.298,0.470096,0.23467,0.341062,0.6792842098,3.2117369402,3.1098,613.436804726,0.741232325,4.0387134378
lucene,krovetz,dlh,0.176476,0.37825,0.366,0.512248,0.288358,0.369666,0.8743615712,3.137678025,3.3322,618.756226628,0.7733428218,3.4927050522
lucene,krovetz,dph,0.20949,0.435584,0.37,0.559016,0.310022,0.43841,0.890668225,3.3183629272,3.325,671.337425985,0.7085075858,3.718629505
lucene,krovetz,hiemstralm,0.115924,0.265756,0.264,0.43283,0.221384,0.25185,0.4312788512,2.6170854832,2.2952,650.479252249,0.6333515072,2.557991165
lucene,krovetz,ifb2,0.206792,0.411684,0.36,0.537944,0.314204,0.407446,1.1801922768,3.3278095272,3.22,646.92035283,0.9967562792,3.0902780842
lucene,krovetz,inb2,0.18979,0.393756,0.358,0.525772,0.294632,0.40562,0.845539325,3.0930013632,3.1218,636.69643669,0.8315225088,3.88329228
lucene,krovetz,inl2,0.208786,0.418898,0.372,0.555868,0.304818,0.432904,1.0051390602,3.3469831898,3.5208,674.96956563,0.9220501538,3.8372811992
lucene,krovetz,inexpb2,0.217202,0.425298,0.376,0.559112,0.313316,0.440196,1.2060285098,3.1935083298,3.1112,682.069131884,1.0541220872,3.6315991792
lucene,krovetz,jskls,0.192162,0.40358,0.36,0.548088,0.289742,0.40531,0.8111871578,3.17302142,3.04,667.082524324,0.8040604418,3.646833885
lucene,krovetz,lemurtfidf,0.218626,0.427498,0.386,0.54641,0.312998,0.41118,1.4156182162,3.7272093098,3.3402,666.988394819,0.9638710298,3.63165556
lucene,krovetz,lgd,0.177928,0.377412,0.326,0.533846,0.28564,0.391478,0.7593471608,2.7179869128,2.6762,653.661694178,0.77371388,3.4864947458
lucene,krovetz,pl2,0.211654,0.440448,0.402,0.539116,0.310946,0.42374,1.2026100842,3.6465268248,3.3898,661.310864173,0.8652953642,3.62842604
lucene,krovetz,tfidf,0.207758,0.423168,0.38,0.550942,0.309968,0.423946,1.0159204818,3.4136027688,3.5,678.487359076,0.9328713888,3.7543656242
lucene,lovins,bb2,0.198792,0.413476,0.372,0.533634,0.294068,0.428632,0.9400293168,3.9029370712,3.8408,659.304193797,0.9420132288,3.9936361288
lucene,lovins,bm25,0.204332,0.418718,0.392,0.545114,0.300764,0.39416,0.9300620688,4.0751472138,4.2968,674.914852713,1.0457913752,3.62425682
lucene,lovins,dfiz,0.143886,0.322906,0.322,0.48367,0.25046,0.345046,0.6946223402,3.7650470882,3.2658,641.335375509,0.68645764,4.5170276842
lucene,lovins,dfree,0.192924,0.399298,0.354,0.542386,0.292984,0.39867,0.9043559712,3.5212671298,3.1842,675.464350689,0.8775040272,3.563055125
lucene,lovins,dirichletlm,0.146554,0.327988,0.308,0.471152,0.236896,0.344968,0.8088641442,3.5764528528,3.4368,649.719944116,0.9686845992,4.1511120488
lucene,lovins,dlh,0.16297,0.353134,0.336,0.500396,0.270232,0.337414,0.714052925,3.2714637522,3.0152,648.317905058,0.7588388088,3.7268339202
lucene,lovins,dph,0.209576,0.429852,0.404,0.553644,0.315904,0.407896,0.9958754912,3.8858539248,4.1192,697.818708112,1.1827886992,3.6655404392
lucene,lovins,hiemstralm,0.111782,0.25173,0.25,0.433114,0.225736,0.263244,0.4043273338,2.567742085,2.205,691.967305095,0.7547666352,3.8480573432
lucene,lovins,ifb2,0.203388,0.398286,0.356,0.526828,0.313226,0.39904,1.2748801128,3.7927400802,3.5832,670.173651492,1.1438482362,3.8862121
lucene,lovins,inb2,0.193912,0.407224,0.36,0.52135,0.299866,0.412444,0.9444067128,3.5854500912,3.22,667.88456622,0.9222612122,4.0171490632
lucene,lovins,inl2,0.201732,0.413256,0.392,0.549114,0.29896,0.395154,0.9391821888,4.0722240432,3.8968,700.636118595,0.99915214,3.7228607642
lucene,lovins,inexpb2,0.214572,0.427978,0.38,0.551066,0.307402,0.40867,1.0937871808,3.9840926458,3.9,705.754761293,0.9700310698,3.703783525
lucene,lovins,jskls,0.196208,0.404308,0.362,0.547476,0.298928,0.400588,0.9013333968,3.6801630168,3.4578,702.507655616,0.8365722208,3.7866179728
lucene,lovins,lemurtfidf,0.207412,0.402412,0.36,0.531014,0.295684,0.38259,1.4501777528,4.2086981128,4.14,685.334852826,1.1147057072,3.884521885
lucene,lovins,lgd,0.183718,0.373662,0.34,0.532686,0.283126,0.398814,0.9182766538,3.2356322978,2.92,689.037862193,0.9438661362,4.1885121402
lucene,lovins,pl2,0.196362,0.414576,0.39,0.530472,0.295054,0.38203,0.9514579178,4.2991696912,3.965,688.776169216,0.7258998242,3.996074325
lucene,lovins,tfidf,0.202138,0.421056,0.39,0.54396,0.302974,0.407534,0.8919596578,4.0404096032,3.965,706.324990114,0.9027017562,3.7291225522
lucene,porter,bb2,0.20629,0.416826,0.372,0.54937,0.309458,0.434368,0.919499205,3.5776338162,3.5408,715.953189688,0.8341884618,4.0632639288
lucene,porter,bm25,0.21186,0.427588,0.398,0.563662,0.313212,0.405414,0.8625687,3.7559519728,3.7898,741.08425893,0.8682040328,3.4882921802
lucene,porter,dfiz,0.15875,0.351054,0.34,0.504388,0.262918,0.35485,0.802113745,3.7800388642,3.36,679.798227059,0.6686909938,4.339821525
lucene,porter,dfree,0.203078,0.404774,0.374,0.559982,0.302996,0.390878,0.9099272058,3.3391770162,3.3562,738.21285591,0.8812162592,3.5481322058
